title;lien;company;categorie;Reference;Publie le;Type de poste;Lieu de travail;Experience;Etude;Remuneration proposee;Disponibilite;Langues;Mobilite
ASSISTANT (E) COMPTABLE;https://www.keejob.com/offres-emploi/152862/assistant-e-comptable/;NEOPOLIS;call center / télévente;152862;26-mars-22;CDI;NabeulNabeulTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Français;Locale
Vendeurs et caissiers Sfax;https://www.keejob.com/offres-emploi/152309/vendeurs-et-caissiers-sfax/;TUNTEX;commerce / vente / distribution;152309;26-mars-22;UNKNOWN;SfaxTunisie;Aucune expérience;Bac;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
Acheteur;https://www.keejob.com/offres-emploi/152211/acheteur/;FATALES;cosmétique / parfumerie / luxe;152211;26-mars-22;CDI-CDD-;TunisTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Des Téléopérateurs Expérimentés en B2B;https://www.keejob.com/offres-emploi/153723/des-téléopérateurs-expérimentés-en-b2b/;AT SERVICES;call center / télévente;153723;26-mars-22;CDI;La MarsaTunisTunisie;Entre 1 et 2 ans;Bac;800 - 1000 DT / Mois;Plein temps;Français;UNKNOWN
Head of Network;https://www.keejob.com/offres-emploi/135516/head-of-network/;BANK ABC;banque / finance / assurances;135516;26-mars-22;UNKNOWN;TunisTunisie;Plus que 10 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Chef comptable;https://www.keejob.com/offres-emploi/152407/chef-comptable/;PARTNER RECRUITMENT;recrutement / ressources humaines;152407;26-mars-22;UNKNOWN;TunisTunisie;Entre 5 et 10 ans;Bac + 5;2000 - 2200 DT / Mois;Plein temps;Français;UNKNOWN
CLUB MANAGER (La Soukra);https://www.keejob.com/offres-emploi/152579/club-manager-la-soukra/;PARTNER RECRUITMENT;recrutement / ressources humaines;152579;26-mars-22;UNKNOWN;TunisTunisie;Entre 5 et 10 ans;Bac + 4;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Télévendeurs en Mutuelle santé;https://www.keejob.com/offres-emploi/153647/télévendeurs-en-mutuelle-santé/;CALL UP CENTER;recrutement / ressources humaines;152664;26-mars-22;UNKNOWNSIVP;La SoukraArianaTunisie;Entre 1 et 2 ans;Bac + 2;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Assistants (es) à l’Accueil;https://www.keejob.com/offres-emploi/152664/assistants-es-à-laccueil/;PARTNER RECRUITMENT;banque / finance / assurances;152327;26-mars-22;CDISIVP;Centre villeTunisTunisie;Entre 5 et 10 ans;Bac + 4;UNKNOWN;Plein temps;Arabe Français Anglais;Locale
Responsable Moyens Généraux;https://www.keejob.com/offres-emploi/152327/responsable-moyens-généraux/;CFE TUNISIE;industrie électro-mécaniques;152449;26-mars-22;SIVPSIVP;Hammam ZribaZaghouanTunisie;Moins d'un an;Bac + 5;UNKNOWN;Plein temps;Français Anglais;LocaleInternational
Ingénieur Qualité UP - CIVP;https://www.keejob.com/offres-emploi/152449/ingénieur-qualité-up-civp/;SITEM;comptabilité / gestion / audit;152605;26-mars-22;UNKNOWNSIVP;TunisTunisie;Moins d'un an;Bac + 3;UNKNOWN;Plein temps;Italien;UNKNOWN
Collaborateur comptabilité internationale;https://www.keejob.com/offres-emploi/152605/collaborateur-comptabilité-internationale/;MAZARS BPO;recrutement / ressources humaines;153775;26-mars-22;UNKNOWNSIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Superviseur maintenance et travaux neufs;https://www.keejob.com/offres-emploi/153775/superviseur-maintenance-et-travaux-neufs/;PARTNER RECRUITMENT;communication / publicité / média;152305;26-mars-22;CDISIVP;Ariana VilleArianaTunisie;Entre 2 et 5 ans;Bac + 2;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Conseiller de la relation Client;https://www.keejob.com/offres-emploi/152305/conseiller-de-la-relation-client/;ETAI TUNISIE/INFOPRO DIGITAL;commerce / vente / distribution;152531;26-mars-22;CDI-CDD-SIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 2;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Technicien de maintenance;https://www.keejob.com/offres-emploi/152531/technicien-de-maintenance/;ARGANIA DISTRIBUTION;call center / télévente;153783;26-mars-22;CDISIVP;NabeulNabeulTunisie;Entre 2 et 5 ans;Bac + 4;UNKNOWN;Plein temps;Français;UNKNOWN
Responsable Marketing;https://www.keejob.com/offres-emploi/153783/responsable-marketing/;NEOPOLIS;informatique / télécoms;153554;26-mars-22;CDISIVP;Ariana VilleArianaTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Anglais;Locale
HPE Aruba SW Engineer with English;https://www.keejob.com/offres-emploi/153554/aruba-sw-engineer-english/;HPE;cosmétique / parfumerie / luxe;152170;26-mars-22;CDI-CDD-SIVP;TunisTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Responsable réseau de points de vente;https://www.keejob.com/offres-emploi/152170/responsable-réseau-de-points-de-vente/;FATALES;recrutement / ressources humaines;152662;26-mars-22;UNKNOWNSIVP;TunisTunisie;Moins d'un an;Bac + 5;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Chargé Marketing (Contrat en CIVP);https://www.keejob.com/offres-emploi/152662/chargé-marketing-contrat-en-civp/;PARTNER RECRUITMENT;recrutement / ressources humaines;153065;26-mars-22;UNKNOWNSIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Français;UNKNOWN
Commerciaux Sédentaires;https://www.keejob.com/offres-emploi/153065/commerciaux-sédentaires/;PARTNER RECRUITMENT;banque / finance / assurances;153145;26-mars-22;UNKNOWNSIVP;Cite El KhadraTunisTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
Assistant(e) Contrôle de gestion;https://www.keejob.com/offres-emploi/153145/assistante-contrôle-de-gestion/;MICROCRED;informatique / télécoms;153553;26-mars-22;CDISIVP;Ariana VilleArianaTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Anglais;Locale
HPE ARUBA WLAN Engineer with English;https://www.keejob.com/offres-emploi/153553/aruba-wlan-engineer/;HPE;call center / télévente;153224;26-mars-22;CDI-SIVP-SIVP;La SoukraArianaTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Français;UNKNOWN
Télévendeurs (H/F);https://www.keejob.com/offres-emploi/153224/télévendeurs-hf/;TANIS;agriculture / agro-alimentaire / environnement;153300;26-mars-22;CDDSIVP;Beni KhalledNabeulTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;Français;UNKNOWN
Chargé (e) d'approvisionnement;https://www.keejob.com/offres-emploi/153300/chargé-e-dapprovisionnement/;VACPA BOUJEBEL;informatique / télécoms;153039;26-mars-22;CDISIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
