title;lien;company;categorie;Reference;Publie le;Type de poste;Lieu de travail;Experience;Etude;Remuneration proposee;Disponibilite;Langues;Mobilite
Comptable;https://www.keejob.com/offres-emploi/153772/comptable/;TIMSOFT;banque / finance / assurances;153804;22-mars-22;CDDSIVP;TunisTunisie;Aucune expérience;Bac + 3;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
Sales Analyst M/F;https://www.keejob.com/offres-emploi/153776/sales-analyst-mf/;MANPOWER PROFESSIONAL;informatique / télécoms;153405;22-mars-22;UNKNOWNSIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Gestionnaire Sinistres Matériels;https://www.keejob.com/offres-emploi/153804/gestionnaire-sinistres-matériels/;AGENCE MAGHREBIA;tourisme / hôtellerie / restauration / loisirs;153769;22-mars-22;CDDSIVP;La MarsaTunisTunisie;Entre 1 et 2 ans;Formations professionnelles;600 - 1400 DT / Mois;Plein temps;UNKNOWN;UNKNOWN
Customer Support night shift;https://www.keejob.com/offres-emploi/153405/customer-support/;STREAMWIDE;banque / finance / assurances;153806;22-mars-22;CDISIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Cuisinier qualifié;https://www.keejob.com/offres-emploi/153769/cuisinier-qualifié/;SOCIETE NOUVELLE DE PRODUCTION ALIEMNTAIRE SNPA NF SA;consulting / étude / stratégie;152807;22-mars-22;SIVPSIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Développeur IT;https://www.keejob.com/offres-emploi/153806/développeur-it/;AGENCE MAGHREBIA;informatique / télécoms;152645;22-mars-22;SIVPSIVP;TunisTunisie;Aucune expérience;Bac + 3;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Développeur BI;https://www.keejob.com/offres-emploi/152807/développeur-bi/;BINITNS;autres;153779;22-mars-22;UNKNOWNSIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 4;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Technicien en Informatique débutant CIVP;https://www.keejob.com/offres-emploi/152645/technicien-en-informatique-débutant-civp/;FAURECIA INFORMATIQUE TUNISIE - FIT;comptabilité / gestion / audit;153816;22-mars-22;CDISIVP;SousseTunisie;Entre 5 et 10 ans;Bac + 4;1200 - 1500 DT / Mois;Plein temps;Arabe Français Anglais;Locale
Commerciale;https://www.keejob.com/offres-emploi/153779/commerciale-confirmée/;JMB INORMATIQUE;call center / télévente;153815;22-mars-22;CDI-CDD-SIVP;Bab BharTunisTunisie;Aucune expérience;Bac;1000 - 1200 DT / Mois;Plein temps;Français;UNKNOWN
Auditeur;https://www.keejob.com/offres-emploi/153816/auditeur-comptable/;SIGMA AUDIT;aéronautique / aviation / voyagiste;153799;22-mars-22;CDISIVP;SolimanNabeulTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Téléopérateurs;https://www.keejob.com/offres-emploi/153815/on-recrute-des-téléopérateurs/;SBR COMMUNICATION;consulting / étude / stratégie;152776;22-mars-22;CDISIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Acheteur H/F;https://www.keejob.com/offres-emploi/153799/acheteur-hf/;SAFRAN TUNISIE;santé / paramédical / optique;153768;22-mars-22;UNKNOWNSIVP;Sousse VilleSousseTunisie;Aucune expérience;Bac + 3;500 - 600 DT / Mois;Plein temps;Arabe Français Anglais;UNKNOWN
Développeur Médior Front End VueJS;https://www.keejob.com/offres-emploi/152776/développeur-médior-front-end-vuejs/;BINITNS;informatique / télécoms;153778;22-mars-22;CDI-SIVP-SIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Secrétaire médicale;https://www.keejob.com/offres-emploi/153768/dentiste-recrute-secrétaire-médicale/;OC DENTAL CLINIC;architecture / immobilier / BTP;153797;22-mars-22;UNKNOWNSIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Process Excellence Supervisor;https://www.keejob.com/offres-emploi/153778/process-excellence-supervisor/;TIMSOFT;VEO WORLDWIDE SERVICES;consulting / étude / stratégie;29-oct.-19;#NOM?;Hammam SousseSousseTunisie;Entre 1 et 2 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais;LocaleInternational
Ingénieur en génie civil;https://www.keejob.com/offres-emploi/153797/ingénieur-en-génie-civil-hf/;SETEC MIS;consulting / étude / stratégie;153702;22-mars-22;CDISIVP;TunisTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Comptable Administration Fournisseurs;Sousse.;https://www.keejob.com/offres-emploi/153339/comptable-administration-fournisseurssousse/;cosmétique / parfumerie / luxe;153811;22-mars-22;CDDSIVP;La SoukraArianaTunisie;Aucune expérience;Bac + 3;UNKNOWN;Plein temps;Arabe Français Anglais;Locale
Team Leader WebMobile;https://www.keejob.com/offres-emploi/153702/team-leader-web-mobile/;VEO WORLDWIDE SERVICES;agriculture / agro-alimentaire / environnement;153773;22-mars-22;CDI-CDD-SIVP;SousseTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Français;Locale
Rédacteur Web;https://www.keejob.com/offres-emploi/153811/rédacteur-web/;KAP PHARMA;comptabilité / gestion / audit;153802;22-mars-22;CDISIVP;Centre villeTunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Directeur de Contrôle de Gestion Groupe;https://www.keejob.com/offres-emploi/153773/directeur-de-contrôle-de-gestion-groupe/;ROSE BLANCHE GROUP;architecture / immobilier / BTP;153767;22-mars-22;CDD-SIVP-SIVP;MnihlaArianaTunisie;Aucune expérience;Bac + 2;700 - 1000 DT / Mois;Plein temps;Arabe Français;LocaleInternational
Gestionnaire de paie;https://www.keejob.com/offres-emploi/153802/gestionnaire-de-paie-francaise/;EXPERT AUDIT INTERNATIONAL;enseignement / formation / puériculture;153786;22-mars-22;Indépendant/FreelanceSIVP;SousseTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Mi-temps/Temps partiel;UNKNOWN;UNKNOWN
Conseiller en immobilier;https://www.keejob.com/offres-emploi/153767/conseillère-et-conseiller-en-immobilier/;TECNOCASA LES JARDIN DEL MENZAH;informatique / télécoms;152710;22-mars-22;CDISIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Formateur en gestion;https://www.keejob.com/offres-emploi/153786/formateur-en-gestion/;INFO2000;consulting / étude / stratégie;153703;22-mars-22;CDISIVP;TunisTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
SAP CC Cloud Platform Developer;https://www.keejob.com/offres-emploi/152710/sap-cc-cloud-platform-developer/;FAURECIA INFORMATIQUE TUNISIE - FIT;tourisme / hôtellerie / restauration / loisirs;153771;22-mars-22;CDI-CDD-SIVP;MahrasSfaxTunisie;Entre 2 et 5 ans;Bac + 5;900 - 1600 DT / Mois;Plein temps;Arabe Français Anglais;Locale
Developpeur BI Cognos;https://www.keejob.com/offres-emploi/153703/developpeur-bi-cognos/;VEO WORLDWIDE SERVICES;industrie électro-mécaniques;153756;22-mars-22;CDI-CDD-SIVP;Menzel JemilBizerteTunisie;Entre 2 et 5 ans;Formations professionnelles;UNKNOWN;Plein temps;Arabe Français;UNKNOWN
Responsable qualité & sécurité alimentaire;https://www.keejob.com/offres-emploi/153771/responsable-qualité-sécurité-alimentaire/;SOCIETE NOUVELLE DE PRODUCTION ALIEMNTAIRE SNPA NF SA;recrutement / ressources humaines;153822;22-mars-22;CDDSIVP;Ben ArousTunisie;Entre 1 et 2 ans;Doctorat;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Technicien maintenance;https://www.keejob.com/offres-emploi/153756/technicien-maintenance/;TUNISIE CABLES;comptabilité / gestion / audit;153801;22-mars-22;CDISIVP;Centre villeTunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Pharmacovigilance Country Associate;https://www.keejob.com/offres-emploi/153822/pharmacovigilance-country-associate/;CRIT;consulting / étude / stratégie;152521;22-mars-22;UNKNOWNSIVP;Sousse VilleSousseTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Français;UNKNOWN
Comptable;https://www.keejob.com/offres-emploi/153801/comptable/;EXPERT AUDIT INTERNATIONAL;commerce / vente / distribution;152823;22-mars-22;CDI-CDD-SIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Comptable Junior (Sousse);https://www.keejob.com/offres-emploi/152521/comptable-junior-sousse/;VEO WORLDWIDE SERVICES;recrutement / ressources humaines;152779;22-mars-22;IntérimSIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 1;UNKNOWN;Plein temps;Français;UNKNOWN
Représentant Commercial (VRP Détail);https://www.keejob.com/offres-emploi/152823/représentant-commercial-vrp-détail/;ARGANIA DISTRIBUTION;informatique / télécoms;153736;22-mars-22;UNKNOWNSIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Agent d'archive ( Tunis et Bizerte);https://www.keejob.com/offres-emploi/152779/agent-darchive-tunis-et-bizerte/;CRIT;informatique / télécoms;153682;22-mars-22;SIVPSIVP;Sousse VilleSousseTunisie;Moins d'un an;Bac + 3;400 - 600 DT / Mois;Plein temps;Arabe Français Anglais;UNKNOWN
DevOps Engineer;https://www.keejob.com/offres-emploi/153736/devops-engineer/;STREAMWIDE;comptabilité / gestion / audit;152813;22-mars-22;CDISIVP;Cite El KhadraTunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Développeuse WordPress;https://www.keejob.com/offres-emploi/153682/développeuse-wordpress/;LAB-IT;banque / finance / assurances;153800;22-mars-22;CDISIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
Auditeur / Auditrice;https://www.keejob.com/offres-emploi/152813/auditeur-auditrice/;FINOPTI;consulting / étude / stratégie;153701;22-mars-22;CDISIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais;International
Ingénieur Sécurité IT;https://www.keejob.com/offres-emploi/153800/ingénieur-sécurité-it/;AGENCE MAGHREBIA;communication / publicité / média;132391;22-mars-22;CDI-CDD-SIVP;NabeulNabeulTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
Développeur CRM Selligent (H/F);https://www.keejob.com/offres-emploi/153701/développeur-crm-selligent-hf/;VEO WORLDWIDE SERVICES;commerce / vente / distribution;153810;22-mars-22;CDISIVP;Ben ArousBen ArousTunisie;Entre 5 et 10 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français;Locale
Graphiste / Monteur Vidéo;https://www.keejob.com/offres-emploi/132391/photographe-débutant/;DIGITAL SOLUTIONS;consulting / étude / stratégie;153705;22-mars-22;CDISIVP;TunisTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Visiteur pharmaceutique;https://www.keejob.com/offres-emploi/153810/visiteur-pharmaceutique/;GEI;agriculture / agro-alimentaire / environnement;153805;22-mars-22;CDD-SIVP-SIVP;Ben ArousTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français;Locale
Chef de projet FICO SAP;https://www.keejob.com/offres-emploi/153705/chef-de-projet-fico-sap/;VEO WORLDWIDE SERVICES;recrutement / ressources humaines;153777;22-mars-22;IntérimSIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 4;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Chef de Zone;https://www.keejob.com/offres-emploi/153805/chef-de-zone/;ELMAZRAA;consulting / étude / stratégie;153704;22-mars-22;CDISIVP;TunisTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Cash and Bank Coordinator;https://www.keejob.com/offres-emploi/153777/cash-and-bank-coordinator/;CRIT;électronique / électricité / énergie;153180;22-mars-22;CDI-SIVP-SIVP;Sousse VilleSousseTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Français Anglais;Locale
Team Lead BI Cognos;https://www.keejob.com/offres-emploi/153704/team-lead-bi-cognos/;VEO WORLDWIDE SERVICES;call center / télévente;153795;22-mars-22;CDI-CDD-SIVP;TunisTunisie;Aucune expérience;Bac;UNKNOWN;Plein temps;Français;UNKNOWN
Responsable commercial;https://www.keejob.com/offres-emploi/153180/responsable-commercial/;SHINE SOLAR CONSULTING;call center / télévente;153794;22-mars-22;CDI-CDD-SIVP;TunisTunisie;Aucune expérience;Bac;UNKNOWN;Plein temps;Français;UNKNOWN
Des Conseillers clients en Fidélisation;https://www.keejob.com/offres-emploi/153795/des-conseillers-clients-en-fidélisation/;MEZZO;banque / finance / assurances;153789;22-mars-22;CDI-SIVP-SIVP;Centre villeTunisTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
100 Conseillers clients - Emission d'appel;https://www.keejob.com/offres-emploi/153794/100-conseillers-clients-emission-dappel/;MEZZO;import / export;153808;22-mars-22;CDI-CDD-SIVP;Centre villeTunisTunisie;Aucune expérience;Bac;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Chargé de Crédit Zaghouan;https://www.keejob.com/offres-emploi/153789/chargé-de-crédit-zaghouan/;CFE TUNISIE;CFE TUNISIE;banque / finance / assurances;23-avr.-18;#NOM?;Centre villeTunisTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français Anglais;Locale
Assistante de Direction;https://www.keejob.com/offres-emploi/153808/assistante-de-direction/;SOREZA;informatique / télécoms;153823;22-mars-22;CDISIVP;El KramTunisTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Français;UNKNOWN
Chargé de créditArianaBejaNabeul;;https://www.keejob.com/offres-emploi/152785/chargé-de-crédit-ariana-beja-nabeul/;santé / paramédical / optique;153695;21-mars-22;CDI-CDD-SIVP;La SoukraArianaTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;LocaleInternational
Data Analyst - Power BI;https://www.keejob.com/offres-emploi/153823/data-analyst-power-bi/;SAQARA;industrie électro-mécaniques;152932;21-mars-22;CDD-SIVP-SIVP;MegrineBen ArousTunisie;Entre 5 et 10 ans;Bac + 3;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
Responsable Promotion de l’Export;https://www.keejob.com/offres-emploi/153695/responsable-promotion-de-lexport/;PHARMAGHREB;recrutement / ressources humaines;153733;21-mars-22;CDI-CDD-SIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Chef d'Equipe de Production;https://www.keejob.com/offres-emploi/152932/chef-dequipe-de-production/;VARITEC;consulting / étude / stratégie;153761;21-mars-22;UNKNOWNSIVP;TunisTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Data Analyst (H/F);https://www.keejob.com/offres-emploi/153733/data-analyst-hf/;HR HOUSE INTERNATIONAL;informatique / télécoms;153697;21-mars-22;CDISIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;Locale
Un économiste Junior;https://www.keejob.com/offres-emploi/153761/un-économiste-junior/;SCET TUNISIE;santé / paramédical / optique;153751;21-mars-22;CDI-SIVP-SIVP;TunisTunisie;Aucune expérience;Bac + 3;UNKNOWN;Plein temps;UNKNOWN;Locale
Ingénieur ERP;https://www.keejob.com/offres-emploi/153697/ingénieur-erp/;TIMSOFT;commerce / vente / distribution;153694;21-mars-22;CDDSIVP;La SoukraArianaTunisie;Entre 5 et 10 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français;UNKNOWN
Technicien biomédical;https://www.keejob.com/offres-emploi/153751/technicien-biomédical/;TUNISIE MEDICAL;recrutement / ressources humaines;153741;21-mars-22;CDISIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais Allemand;UNKNOWN
Cadre Ressources humaines;https://www.keejob.com/offres-emploi/153694/cadre-ressources-humaines/;SOQUIBAT;informatique / télécoms;153754;21-mars-22;CDISIVP;Bizerte NordBizerteTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Project Manager Production system (H/F);https://www.keejob.com/offres-emploi/153741/project-manager-production-system-hf/;HR HOUSE INTERNATIONAL;informatique / télécoms;153749;21-mars-22;CDI-CDD-SIVP;El MenzahTunisTunisie;Entre 1 et 2 ans;Bac + 5;UNKNOWN;Plein temps;Anglais Allemand;International
Key Account Manager;https://www.keejob.com/offres-emploi/153754/key-account-manager/;ONETECH HOLDING;informatique / télécoms;153494;21-mars-22;CDI-SIVP-SIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Développeur JAVA;https://www.keejob.com/offres-emploi/153749/développeur-java/;BERTSCH INNOVATION;recrutement / ressources humaines;153732;21-mars-22;CDI-CDD-SIVP;TunisTunisie;Entre 5 et 10 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Comptable;https://www.keejob.com/offres-emploi/153494/comptable/;2IGA;import / export;153728;21-mars-22;CDD-SIVP-SIVP;EssijoumiTunisTunisie;Moins d'un an;Bac + 3;UNKNOWN;Plein temps;Arabe Français Anglais;Locale
Data Engineer(H/F);https://www.keejob.com/offres-emploi/153732/data-engineerhf/;HR HOUSE INTERNATIONAL;commerce / vente / distribution;153760;21-mars-22;UNKNOWNSIVP;Bir MchergaZaghouanTunisie;Entre 1 et 2 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Technicien de maintenace de chaudiére;https://www.keejob.com/offres-emploi/153728/technicien-de-maintenace-de-chaudiére/;CARTHAGO ESSENCES TN;recrutement / ressources humaines;153715;21-mars-22;CDISIVP;TunisTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Responsable maintenance (site Bir Mchergua);https://www.keejob.com/offres-emploi/153760/responsable-maintenance-site-bir-mchergua/;MED OIL CAMPANY;informatique / télécoms;153750;21-mars-22;Stage/PFESIVP;El MenzahTunisTunisie;Moins d'un an;Bac + 5;UNKNOWN;Plein temps;Anglais Allemand;UNKNOWN
Plant Manager (H/F);https://www.keejob.com/offres-emploi/153715/plant-manager-hf/;HR HOUSE INTERNATIONAL;informatique / télécoms;153722;21-mars-22;CDI-CDD-SIVP;La MarsaTunisTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;LocaleInternational
Projet de fin d'étude;https://www.keejob.com/offres-emploi/153750/projet-de-fin-détude/;BERTSCH INNOVATION;santé / paramédical / optique;153762;21-mars-22;SIVPSIVP;El MenzahTunisTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
Technical Lead Senior Full-Stack JS Developer;https://www.keejob.com/offres-emploi/153722/technical-lead-senior-full-stack-js-developer/;NAZA DEV SOLUTIONS;santé / paramédical / optique;153696;21-mars-22;CDI-CDD-SIVP;La SoukraArianaTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;LocaleInternational
Financier;https://www.keejob.com/offres-emploi/153762/financier/;LES CLINIQUES EL MANAR;commerce / vente / distribution;153748;21-mars-22;CDDSIVP;El MouroujBen ArousTunisie;Entre 1 et 2 ans;Bac + 2;UNKNOWN;Plein temps;Arabe Français;Locale
Délégué(e) médical pour La Lybie.;https://www.keejob.com/offres-emploi/153696/déléguée-médical-pour-la-lybie/;PHARMAGHREB;artisanat / textile / cuir;153765;21-mars-22;UNKNOWNSIVP;OuerdanineMonastirTunisie;Entre 2 et 5 ans;Formations professionnelles;UNKNOWN;Plein temps;Français;UNKNOWN
Commercial;https://www.keejob.com/offres-emploi/153748/commercial/;UNO DISTRIBUTION;recrutement / ressources humaines;153731;21-mars-22;CDISIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
technicien de qualité en lavage et finition;https://www.keejob.com/offres-emploi/153765/technicien-de-qualité-en-lavage-et-finition/;BLUE PANAMA;commerce / vente / distribution;153738;21-mars-22;UNKNOWNSIVP;TunisTunisie;Moins d'un an;Bac + 3;UNKNOWN;Plein temps;Arabe Français;Locale
Data Quality Project Engineer( H/F);https://www.keejob.com/offres-emploi/153731/data-quality-project-engineer-hf/;HR HOUSE INTERNATIONAL;tourisme / hôtellerie / restauration / loisirs;153726;21-mars-22;CDDSIVP;Cite El KhadraTunisTunisie;Entre 5 et 10 ans;Formations professionnelles;UNKNOWN;Plein temps;Arabe Français Anglais;Locale
Commercial;https://www.keejob.com/offres-emploi/153738/commercial-e-débutant/;FRIGOTECHNIQUE;commerce / vente / distribution;152722;21-mars-22;CDDSIVP;ArianaTunisie;Plus que 10 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français;Locale
Pâtissier;https://www.keejob.com/offres-emploi/153726/patisserie/;BUSINESS HOTEL TUNIS;consulting / étude / stratégie;153642;21-mars-22;UNKNOWNSIVP;TunisTunisie;Aucune expérience;Bac + 5;UNKNOWN;Plein temps;UNKNOWN;UNKNOWN
TECHNICIEN GÉNIE CIVIL;https://www.keejob.com/offres-emploi/152722/technicien-génie-civil/;SOQUIBAT;recrutement / ressources humaines;153742;21-mars-22;CDISIVP;ZaghouanTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Ingénieur Génie Civil;https://www.keejob.com/offres-emploi/153642/ingénieur-génie-civil/;ACOUSTICA;informatique / télécoms;153739;21-mars-22;CDISIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 2;1000 - 1500 DT / Mois;Plein temps;Français;International
IOT Engineer (H/F);https://www.keejob.com/offres-emploi/153742/iot-engineer-hf/;HR HOUSE INTERNATIONAL;informatique / télécoms;153720;21-mars-22;CDISIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français Anglais;Locale
Customer Support Specialist;https://www.keejob.com/offres-emploi/153739/customer-support-specialist-tunis/;PCSOL TUNISIE;agriculture / agro-alimentaire / environnement;153727;21-mars-22;CDDSIVP;GrombaliaNabeulTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français Anglais;Locale
Commercial Solutions Cybersécurité;https://www.keejob.com/offres-emploi/153720/commercial-solutions-cybersécurité/;SPG;communication / publicité / média;153648;21-mars-22;CDI-SIVP-SIVP;TunisTunisie;Moins d'un an;Bac + 5;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Assistant(e) Administratif(ve);https://www.keejob.com/offres-emploi/153727/assistante-administratifve/;NEXTPROTEIN TUNISIA;recrutement / ressources humaines;153753;21-mars-22;CDISIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Arabe Français Anglais;UNKNOWN
Quality Control Editor (HTML / CSS / JS);https://www.keejob.com/offres-emploi/153648/quality-control-editor-html-css-js/;CTM TUNISIA;autres;153698;21-mars-22;CDDSIVP;TunisTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
QA Team Lead (H/F);https://www.keejob.com/offres-emploi/153753/qa-team-lead-hf/;HR HOUSE INTERNATIONAL;commerce / vente / distribution;153699;21-mars-22;UNKNOWNSIVP;RadesBen ArousTunisie;Entre 5 et 10 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
Comptable;https://www.keejob.com/offres-emploi/153698/comptable/;ETS SIALA FRERES;industrie métalliques;153747;21-mars-22;CDI-CDD-SIVP;Sakiet EddaierSfaxTunisie;Entre 2 et 5 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français Anglais;Locale
Adjoint Responsable USINE;https://www.keejob.com/offres-emploi/153699/adjoint-responsable-usine/;MED OIL CAMPANY;informatique / télécoms;153759;21-mars-22;CDD-SIVP-SIVP;RaouedArianaTunisie;Moins d'un an;Bac + 3;UNKNOWN;Plein temps;Arabe Français;UNKNOWN
Assistante de direction;https://www.keejob.com/offres-emploi/153747/assistante-de-direction/;SIMMO;artisanat / textile / cuir;153718;21-mars-22;CDD-SIVP-SIVP;Beni KhiarNabeulTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français;UNKNOWN
Vendeur;https://www.keejob.com/offres-emploi/153759/agent-de-vente-rayon-électroménager/;SYNOTEC;agriculture / agro-alimentaire / environnement;153709;21-mars-22;UNKNOWNSIVP;MegrineBen ArousTunisie;Entre 1 et 2 ans;Bac + 4;UNKNOWN;Plein temps;Français;Locale
Technicien maintenance;https://www.keejob.com/offres-emploi/153718/technicien-maintenance-poste-a-nebeul/;ART MARTIN;import / export;153729;21-mars-22;CDD-SIVP-SIVP;EssijoumiTunisTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français Anglais;Locale
Contrôleur de gestion commercial;https://www.keejob.com/offres-emploi/153709/contrôleur-de-gestion-commercial/;SOTUBI;recrutement / ressources humaines;153719;21-mars-22;CDDSIVP;Ben ArousTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;Arabe Français;UNKNOWN
Chimiste;https://www.keejob.com/offres-emploi/153729/chimiste/;CARTHAGO ESSENCES TN;informatique / télécoms;153743;21-mars-22;CDD-SIVP-SIVP;Sousse VilleSousseTunisie;Entre 1 et 2 ans;Bac + 3;UNKNOWN;Plein temps;Français;UNKNOWN
IT Specialist;https://www.keejob.com/offres-emploi/153719/support-applications/;CRIT;recrutement / ressources humaines;153734;21-mars-22;CDISIVP;TunisTunisie;Entre 2 et 5 ans;Bac + 5;UNKNOWN;Plein temps;Français;UNKNOWN
DESSINATEUR en architecture d'intérieur;https://www.keejob.com/offres-emploi/153743/dessinateur-en-architecture-dintérieur/;GEON-LISP RÉSEAUX & TELECOMS;informatique / télécoms;153688;21-mars-22;Stage/PFESIVP;El KramTunisTunisie;Aucune expérience;Bac + 3;UNKNOWN;Plein temps;Français;UNKNOWN
Chargé Administratif et Financier (H/F);https://www.keejob.com/offres-emploi/153734/chargé-administratif-et-financier-hf/;HR HOUSE INTERNATIONAL;recrutement / ressources humaines;153713;21-mars-22;CDISIVP;TunisTunisie;Entre 1 et 2 ans;Bac + 5;UNKNOWN;Plein temps;Français Anglais;UNKNOWN
Stage : Digital Marketer;https://www.keejob.com/offres-emploi/153688/stage-digital-marketer/;Ozone Connect;informatique / télécoms;153617;21-mars-22;SIVPSIVP;Sfax VilleSfaxTunisie;Moins d'un an;Bac + 3;UNKNOWN;Plein temps;UNKNOWN;Locale
